# Number of sources: 18450
# RA (deg), Dec (deg), I (Jy), Q (Jy), U (Jy), V (Jy), Ref. freq. (Hz), Spectral index, Rotation measure (rad/m^2), FWHM major (arcsec), FWHM minor (arcsec), Position angle (deg)
 358.913940, -35.002876, 3.765775e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.629967e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.512360, -35.014744, 1.386079e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.451758e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.587036, -35.023521, 1.185863e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.580069e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.129852, -35.010681, 1.348077e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.086702e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 353.617004, -35.369305, 1.006742e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.920135, -35.001488, 1.153043e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.115262e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.269562, -34.937511, 1.537890e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.974448e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.193024, -35.074005, 1.303913e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.343224e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.442108, -35.105694, 9.724501e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.397917e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.255005, -34.758972, 2.243824e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.120135e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.645966, -35.164394, 3.780951e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.100296e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.225067, -35.174625, 2.842435e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.407658e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 353.464417, -35.197945, 2.602549e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.502213e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.882172, -34.649563, 1.089386e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.838712e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 353.956970, -35.132130, 4.356243e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.928447e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.569672, -34.991932, 5.813052e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.451545e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.696869, -34.730900, 1.418700e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.297522e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.123413, -34.664764, 3.610175e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.570512e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.089905, -35.013233, 1.671600e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.164014e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
